   061573
 0PQ6OB 3     1195
 03B9O1 3      130
 006ISJ 3     9875
 2C7IU7 3       80
 03B9O2 3      585
 2C7IU8 3       90
 0NHHKT 3      310
 0 XB[A 3      445
 001DHX 3      130
 00RI3T 3      105
 03DJN[ 3     4075
 004JNT 3       95
 001GNM 3        0
 00RI8O 3        0
 03BA3Z 3      340
 0PQ MS 3      495
 0 X2PL 3     2970
 09OC 4 3       95
 00RIWB 3    37775
 00RB7W 3     4225
 00RAU6 3        0
 0PQDB4 3       90
 00RI 8 3      655
 00RB6\ 3       20
 00AFBV 3     3400
 0WNHE1 3      630
 28PHPE 3      545
 28PHPD 3       65
 00RB7X 3       30
 0E]B1J 3        0
 00RB7\ 3        5
 00R63G 3       35
 00RB88 3      265
 0L2IY7 3      105
 00AIWK 3      565
 24ZGYS 3       95
 002 CY 3        0
 2JTJYR 3      755
 0E]HAW 3       45
 007IYM 3     1295
 0NHHJG 3      120
 00AIXY 3      540
 00RI8Q 3      720
 004A1M 3       60
 00AIUJ 3        5
 00603J 3        0
 0IBIYN 3      930
 001JQX 3        0
 004I6[ 3       15
 001HKO 3        0
 00AJ3P 3        0
 001JQZ 3        0
 00UJN\ 3      130
 007JW3 3      525
 002JEA 3        0
 00AI8V 3      245
 0WNHE2 3        0
 007JZ0 3     1270
 00AJZG 3      470
 03BJNG 3       85
 2FGJA  3      105
 0IFJNS 3        0
 007JR\ 3     1130
 001GWQ 3        0
 006J03 3        0
 004A2[ 3      140
 0IFINY 3      530
 1K]ATB 3     1210
 2DWJ0E 3      400
 00R0BP 3        0
 00B WX 3        5
 00RJ0I 3        0
 14R 0H 3     4620
 00AJJ1 3       65
 2 HI3V 3      755
 2 HI6W 3      335
 0WNJ6I 3     2775
 007JW4 3      435
 0E]JQ4 3       10
 006J\M 3       20
 00RJ\L 3        0
 00AK05 3     1405
 001JR  3        0
 0E]JY7 3       20
 00AHPK 3     3370
 03DK0Y 3        0
 2JTJYT 3      365
 2JTJYU 3        0
 00AIUD 3      190
 006J3K 3      320
 00RI6] 3      150
 2ENJ58 3     1235
 2EMJ57 3        0
 00RJ0G 3      840
 00BIWO 3        0
 0Z1ATA 3        0
 002 CX 3        0
 00AGCH 3        0
 006J5[ 3       55
 0029N9 3       90
 00AIZ9 3        0
 0NHJ7B 3        0
 006J8V 3      665
 00BIWP 3        0
 2JTJYS 3      160
 00RK2  3        0
 0IFK35 3       30
 007J91 3      420
 001K3Q 3        0
 0E]J61 3        0
 007J8R 3     3215
 00AJ3] 3       45
 006JAO 3     6220
 007J8T 3        0
 152 2C 3        0
 00RJBN 3      390
 0IBIYO 3      160
 00RICB 3       15
 006JCQ 3     5220
 007JAC 3       85
 001IOS 3       30
 00603K 3     2880
 006J [ 3        0
 00RIU0 3      645
 007I5I 3        0
 007JEX 3     2525
 00AIYB 3     9755
 00RJ0K 3     4215
 050I8U 3       10
 00RJJ5 3      255
 0 XJGR 3      100
 ZZZZZZ
