1972 SIMMONS - TV STUDY - 6043 RESPONDENTS                              
 SOURCE: S72TV
 POINTER FILE: 72YPT.DAT 
 DATA FILE: INV72N.DAT
      7618 BITS PER RESPONDENT.
        12 BITS/WEIGHT
      4382 STARTING WEIGHT RECORD
 #RESP .NE. #MEN+#WOMEN.   OK?      15366 RESPONDENTS
      2677 MEN
         1 START BIT(MEN)
      3366 WOMEN
      7206 START BIT(WOMEN)
        32 CARDS/RESPONDENT
 
 COLS    YX0123456789 LOCATION
 15*41 S 111111111111    2777
 15*42 S 111111111111    2781
 15*43 S 111111111111    2785
 15*44 M 110111111111    2789
 15*45 S 111111111011    2800
 15*46 S 110111111000    2804
 15*47 S 110111111100    2808
 15*48 M 111111111111    2812
 15*49 M 111111111111    2824
 15*50 S 110111111000    2836
 15*51 S 111111111111    2840
 15*52 S 110111111000    2844
 15*53 S 111111111111    2848
 15*54 S 110111111000    2852
 15*55 M 110111111110    2856
 15*56 S 001111111000    2866
 15*57 S 001111111000    2869
 15*58 S 001111111000    2872
 15*59 S 001111111000    2875
 15*60 S 001111111000    2878
 15*61 S 001111111000    2881
 15*62 S 001111111000    2884
 15*63 S 001111111000    2887
 15*64 S 001111111000    2890
 15*65 S 111111111111    2893
 15*66 S 110111111000    2897
 15*67 S 111111111111    2901
 15*68 S 111111111111    2905
 15*69 S 111111111111    2909
 15*70 S 110111111110    2913
 15*71 S 110111111111    2917
 15*72 S 111111111111    2921
 15*73 S 111111111111    2925
 15*74 S 111111111111    2929
 15*75 S 110111111111    2933
 15*76 S 110111111110    2937
 15*77 S 110111111111    2941
 15*78 M 110111100000    2945
 15*79 S 110111000000    2951
 15*80 S 110111111110    2954
 16* 1 S 110111111111    2958
 16* 2 S 110111111110    2962
 16* 3 S 110111111111    2966
 16* 4 S 110111110000    2970
 16* 5 S 100111111000    2973
 16* 6 M 110111111000    2976
 16* 7 S 000111111100    2984
 16* 8 S 000111111100    2987
 16* 9 S 111111111111    2990
 16*10 S 111111111111    2994
 16*11 S 110111111100    2998
 16*12 S 111111111111    3002
 16*13 S 110111111000    3006
 16*14 M 110111111100    3010
 16*15 S 110111111100    3019
 16*16 S 111111111111    3023
 16*17 S 111111111111    3027
 16*18 S 111111111111    3031
 16*19 M 110111111110    3035
 16*20 S 110111111100    3045
 16*21 S 001111111111    3049
 16*22 S 011111111111    3053
 16*23 S 000111111100    3057
 16*24 S 111111111111    3060
 16*25 M 111111111111    3064
 16*26 M 001111111111    3076
 16*29 M 111111110001    3086
 16*30 S 111111111111    3095
 16*32 S 110111111100    3099
 16*33 S 110111111110    3103
 16*34 S 111111111111    3107
 16*36 S 110111111000    3111
 16*37 S 111111111111    3115
 16*39 S 111111111111    3119
 16*41 M 111111111111    3123
 16*57 S 110111111111    3135
 16*58 S 110111111110    313959 S 110111111100    3143
 16*61 S 110111111000    3147
 16*62 M 110111111111    3151
 16*72 S 110111111000    3162
 16*73 S 110111111100    3166
 16*74 S 110111111111    3170
 16*78 S 110111111111    3174
 16*79 S 110111111000    3178
 16*80 S 111111111111    3182
 17* 1 M 110111111111    3186
 17*13 S 110111111100    3197
 17*16 S 110111111000    3201
 17*18 S 110111111110    3205
 17*19 S 110100000000    3209
 17*20 M 000111110000    3211
 17*21 S 001111110000    3216
 17*22 S 001111110000    3219
 17*23 S 111111111111    3222
 17*24 S 111111111111    3226
 17*25 S 111111111111    3230
 17*26 S 111111111111    3234
 17*27 S 111111111111    3238
 17*28 S 111111111111    3242
 17*29 M 111111111111    3246
 17*30 M 111111111111    3258
 17*31 M 011111111111    3270
 17*32 M 111111111111    3281
 17*33 M 111111111111    3293
 17*34 M 011111111111    3305
 17*35 M 111111111111    3316
 17*36 M 000111110000    3328
 17*37 S 000111111000    3333
 17*38 S 000111111000    3336
 17*39 S 000111111000    3339
 17*40 S 000111111000    3342
 17*41 S 000111111000    3345
 17*42 S 000111111000    3348
 17*43 S 000111111000    3351
 17*44 S 000111111000    3354
 17*45 S 000111111000    3357
 17*46 S 000111111000    3360
 17*47 S 000111111000    3363
 17*48 S 000111111000    3366
 17*49 S 000111111000    3369
 17*50 S 000111111000    3372
 17*51 S 000111111000    3375
 17*52 S 000111111000    3378
 17*53 S 000111111000    3381
 17*54 S 110110000000    3384
 17*56 S 110100000000    3387
 17*57 S 110111110000    3389
 17*59 S 111111111111    3392
 17*60 S 110111111100    3396
 17*61 S 110111111000    3400
 17*62 S 111111111111    3404
 17*63 S 110111111110    3408
 17*64 S 111111111111    3412
 17*65 S 110111100000    3416
 17*66 S 111111111111    3419
 17*67 S 111111111111    3423
 17*68 S 110111110000    3427
 17*69 S 111111111111    3430
 17*70 S 110111000000    3434
 17*71 S 111111111111    3437
 17*72 S 110111110000    3441
 17*73 S 110111111100    3444
 17*74 S 111111111111    3448
 17*75 S 110111111111    3452
 17*76 S 110111110000    3456
 17*77 S 110111110000    3459
 17*78 M 110111000000    3462
 17*79 S 001111110000    3467
 17*80 S 001111110000    3470
 18* 1 S 001111110000    3473
 18* 2 M 111111111111    3476
 18* 3 M 110111111110    3488
 18* 4 M 110111111110    3498
 18* 6 M 111111111111    3508
 18* 7 M 110111000000    3520
 18*10 M 110111000000    3525
 18*11 S 000111111000    3530
 18*12 S 000111111000    3533
 18*13 S 000111111000    3536
 18*14 S 111111111111    3539
 18*15 S 110111100000    3543
 18*16 S 110111111111    3546
 18*17 S 111111111111    3550
 18*18 S 110111111000    3554
 18*19 S 000110000000    3558
 18*20 M 110111111111    3560
 18*21 S 001111111111    3571
 18*22 S 000111111000    3575
 18*23 S 001111111111    3578
 18*24 S 001111111111    3582
 18*25 S 001111111111    3586
 18*26 S 000111111000    3590
 18*27 S 001111111111    3593
 18*28 S 001111111111    3597
 18*29 S 001111111111    3601
 18*30 S 110111111000    3605
 18*31 S 110111110000    3609
 18*32 S 110111110000    3612
 18*33 S 111111111111    3615
 18*34 M 111111111100    3619
 18*35 S 111111111111    3629
 18*36 S 111111111111    3633
 18*37 S 110111111111    3637
 18*38 S 110111110000    3641
 18*39 M 110111110000    3644
 18*40 S 001111110000    3651
 18*41 M 111111110000    3654
 18*42 S 001111110000    3662
 18*43 S 001111110000    3665
 18*44 S 001111110000    3668
 18*45 M 111111111111    3671
 18*46 M 110111111110    3683
 18*47 M 111111111111    3693
 18*48 S 110100000000    3705
 18*49 M 111111111111    3707
 18*50 M 110111111110    3719
 18*51 M 110111111110    3729
 18*52 M 111111111111    3739
 18*53 M 111111111111    3751
 18*54 S 011111111111    3763
 18*55 S 001111111111    3767
 18*56 M 001111111111    3771
 18*57 S 000111111000    3781
 18*58 S 001111111111    3784
 18*59 S 001111111111    3788
 18*60 S 111111111111    3792
 18*61 S 110111110000    3796
 18*62 S 110111111111    3799
 18*63 S 111111111111    3803
 18*64 S 110111111111    3807
 18*65 S 111111111111    3811
 18*66 S 110111111111    3815
 18*67 S 110111111110    3819
 18*69 S 110111110000    3823
