 007JAC31  100    1 3376
 007JEW11  100    1 3376
 007JEW21  100    1 3376
 007JEW31  100    1 3376
 007JEX11  100    1 3376
 007JEX21  100    1 3376
 007JEX31  100    1 3376
 007JR\11  100    1 3376
 007JR\21  100    1 3376
 007JR\31  100    1 3376
 007JUN11  100    1 3376
 007JUN21  100    1 3376
 007JUN31  100    1 3376
 007JW331  100    1 3376
 007JW411  100    1 3376
 007JZ011  100    1 3376
 007JZ031  100    1 3376
 00800611  100    1 3376
 00800631  100    1 3376
 00800711  100    1 3376
 00800731  100    1 3376
 00909 11  100    1 3376
 00909 21  100    1 3376
 00909 31  100    1 3376
 00A L]11  100    1 3376
 00A L]31  100    1 3376
 00A TR11  100    1 3376
 00A TR31  100    1 3376
 00A Z811  100    1 3376
 00A Z831  100    1 3376
 00A \711  100    1 3376
 00A \731  100    1 3376
 00A05S11  100    1 3376
 00A05S31  100    1 3376
 00A08]11  100    1 3376
 00A08]31  100    1 3376
 00A09931  100    1 3376
 00A10A11  100    1 3376
 00A10A31  100    1 3376
 00A10R31  100    1 3376
 00A10U31  100    1 3376
 00A1V\11  100    1 3376
 00A1V\21  100    1 3376
 00A1V\31  100    1 3376
 00A6ND11  100    1 3376
 00A6ND21  100    1 3376
 00A6ND31  100    1 3376
 00AA0 11  100    1 3376
 00AA0 31  100    1 3376
 00AA0911  100    1 3376
 00AA0931  100    1 3376
 00AAC831  100    1 3376
 00AAFE11  100    1 3376
 00AAFE31  100    1 3376
 00AAJL11  100    1 3376
 00AAJL31  100    1 3376
 00AAJN11  100    1 3376
 00AAJN31  100    1 3376
 00ABFO11  100    1 3376
 00ABFO21  100    1 3376
 00ABFO31  100    1 3376
 00ABGN11  100    1 3376
 00ABGN21  100    1 3376
 00ABGN31  100    1 3376
 00ABGO11  100    1 3376
 00ABGO31  100    1 3376
 00ABWX11  100    1 3376
 00ABWX21  100    1 3376
 00ABWX31  100    1 3376
 00AC0331  100    1 3376
 00AC1C11  100    1 3376
 00AC1C21  100    1 3376
 00AC1C31  100    1 3376
 00ACHQ21  100    1 3376
 00ACJQ11  100    1 3376
 00ACJQ31  100    1 3376
 00ACMP11  100    1 3376
 00ACMP31  100    1 3376
 00AD 011  100    1 3376
 00AD 021  100    1 3376
 00AD 031  100    1 3376
 00ADDF31  100    1 3376
